CELLID	LAC	MNC	MCC	
795536	12	1	228	
4976	4141	1	228	
816334	12	1	228	
10009	2222	1	228	
26336677	20000	2	228	
1740921	26	1	228	
832842	12	1	228	
10259	1717	1	228	
10948	4040	1	228	
21227	1616	1	228	
15021	2323	1	228	
2079	1414	1	228	
418366	6	1	228	
1590831	24	1	228	
21207	2626	1	228	
2092	2222	1	228	
2442	19000	2	228	
12613	6003	3	228	
7313	2626	1	228	
365492	5	1	228	
11491	3030	1	228	
13885	6003	3	228	
6496	1818	1	228	
12278	6003	3	228	
14719	6006	3	228	
26335047	20000	2	228	
801427	12	1	228	
1792033	27	1	228	
12149	6002	3	228	
1731134	26	1	228	
3007	1212	1	228	
26403914	21000	2	228	
6030	4141	1	228	
13012	6003	3	228	
176857	7510	3	228	
62	1818	1	228	
1076813	16	1	228	
237723	9505	3	228	
508647	9518	3	228	
12141	6002	3	228	
5249	4040	1	228	
4901	4141	1	228	
801411	12	1	228	
8196	101	1	228	
807776	12	1	228	
1601322	24	1	228	
2295	1414	1	228	
1728682	26	1	228	
30205	3500	2	228	
1742091	26	1	228	
816569	12	1	228	
10352	32000	2	228	
29374	2222	1	228	
28846	101	1	228	
8013	101	1	228	
6179	1212	1	228	
26333029	20000	2	228	
816561	12	1	228	
1726750	26	1	228	
884039	6501	3	228	
3883	4040	1	228	
14647	3030	1	228	
12282	6003	3	228	
12821	6003	3	228	
12344	6003	3	228	
6957	4242	1	228	
28457	6000	2	228	
399773	6	1	228	
1019114	8502	3	228	
12743	6003	3	228	
12902	6003	3	228	
8183	101	1	228	
431668	6	1	228	
274577	4	1	228	
28849	101	1	228	
85771	1	1	228	
411471	6	1	228	
26342607	20200	2	228	
823441	12	1	228	
15692	37000	2	228	
1532280	23	1	228	
798892	12	1	228	
1054927	16	1	228	
26338877	20000	2	228	
17741	1616	1	228	
815082	12	1	228	
211517	3	1	228	
6019	202	1	228	
1076811	16	1	228	
1727505	26	1	228	
12913	6003	3	228	
1742927	26	1	228	
2443	19000	2	228	
411641	6	1	228	
812638	12	1	228	
2305	6000	2	228	
16127	30000	2	228	
884413	13	1	228	
790746	12	1	228	
12552	6003	3	228	
64	101	1	228	
31012	6000	2	228	
1282109	19	1	228	
28712	32000	2	228	
802196	12	1	228	
812339	12	1	228	
1019101	8502	3	228	
813937	12	1	228	
431248	6	1	228	
4751	3434	1	228	
878668	13	1	228	
26342429	20000	2	228	
1065550	16	1	228	
10978	101	1	228	
14221	6004	3	228	
825670	12	1	228	
26130	202	1	228	
27016	6000	2	228	
6023	4141	1	228	
807777	12	1	228	
21440	2626	1	228	
5459	20991	1	208	
885045	6501	3	228	
26336248	20200	2	228	
1404422	21	1	228	
109308	7500	3	228	
237549	9505	3	228	
1062462	16	1	228	
110006	7500	3	228	
430801	6	1	228	
431057	6	1	228	
872279	13	1	228	
26337479	20000	2	228	
1019484	8502	3	228	
14001	7500	2	228	
1726751	26	1	228	
11521	1212	1	228	
274823	4	1	228	
7281	101	1	228	
1281716	19	1	228	
12283	6003	3	228	
299523	4	1	228	
13631	6004	3	228	
13566	1313	1	228	
25995	6000	2	228	
1019503	8502	3	228	
1019280	8503	3	228	
6958	4242	1	228	
14732	6006	3	228	
24492	16001	2	228	
28891	9010	3	228	
13952	6008	3	228	
26342608	20200	2	228	
11803	6002	3	228	
823539	12	1	228	
1414172	21	1	228	
5462	1616	1	228	
1737886	26	1	228	
26326819	20000	2	228	
277289	4	1	228	
798893	12	1	228	
9167	303	1	228	
1535062	23	1	228	
789289	12	1	228	
869097	13	1	228	
211518	3	1	228	
1282541	19	1	228	
1270253	19	1	228	
804676	12	1	228	
2260	2525	1	228	
431071	6	1	228	
814369	12	1	228	
431610	6	1	228	
878208	13	1	228	
1727506	26	1	228	
26393145	21000	2	228	
13024	6002	3	228	
1259811	19	1	228	
10302	30000	2	228	
26329037	20000	2	228	
7236	4242	1	228	
3521	1818	1	228	
2365	1111	1	228	
802197	12	1	228	
430799	6	1	228	
11841	6002	3	228	
345	2323	1	228	
26333028	20000	2	228	
507792	9518	3	228	
1021565	8502	3	228	
88230	1	1	228	
431303	6	1	228	
12952	6003	3	228	
3602	37000	2	228	
26403714	21000	2	228	
8226	4040	1	228	
1807220	27	1	228	
28163	202	1	228	
17702	1616	1	228	
1411723	21	1	228	
21212	4040	1	228	
10122	31000	2	228	
1728684	26	1	228	
1085538	16	1	228	
885046	6501	3	228	
237550	9505	3	228	
25304	202	1	228	
110007	7500	3	228	
1737318	26	1	228	
816695	12	1	228	
13461	101	1	228	
14885	6004	3	228	
1727458	26	1	228	
431341	6	1	228	
431244	6	1	228	
6422	1616	1	228	
