CELLS_CELLID  	CELLS_AREAID  	CELLS_NETWORKID  	CELLS_COUNTRYID  
26462679	0	2	228
66457	1	1	228
66458	1	1	228
72687	1	1	228
72690	1	1	228
75231	1	1	228
81382	1	1	228
82174	1	1	228
82192	1	1	228
84591	1	1	228
87803	1	1	228
87839	1	1	228
89510	1	1	228
91589	1	1	228
91603	1	1	228
91604	1	1	228
94740	1	1	228
94778	1	1	228
94784	1	1	228
94840	1	1	228
100863	1	1	228
100865	1	1	228
103500	1	1	228
105130	1	1	228
214618	3	1	228
239687	3	1	228
239689	3	1	228
273181	4	1	228
274577	4	1	228
277289	4	1	228
277517	4	1	228
290135	4	1	228
290137	4	1	228
293122	4	1	228
299531	4	1	228
365491	5	1	228
365492	5	1	228
411472	6	1	228
414680	6	1	228
426017	6	1	228
430436	6	1	228
430438	6	1	228
430778	6	1	228
430919	6	1	228
431244	6	1	228
431613	6	1	228
432814	6	1	228
498318	7	1	228
564058	8	1	228
564059	8	1	228
739114	11	1	228
741166	11	1	228
743985	11	1	228
744022	11	1	228
750918	11	1	228
751294	11	1	228
758246	11	1	228
758247	11	1	228
789289	12	1	228
790528	12	1	228
795536	12	1	228
798892	12	1	228
798893	12	1	228
801417	12	1	228
801423	12	1	228
801425	12	1	228
801437	12	1	228
801465	12	1	228
802196	12	1	228
805447	12	1	228
806760	12	1	228
807775	12	1	228
807776	12	1	228
807777	12	1	228
808408	12	1	228
812074	12	1	228
815088	12	1	228
815608	12	1	228
815609	12	1	228
823488	12	1	228
823489	12	1	228
823539	12	1	228
823540	12	1	228
825645	12	1	228
832842	12	1	228
852947	13	1	228
853134	13	1	228
853168	13	1	228
867840	13	1	228
868095	13	1	228
870171	13	1	228
870741	13	1	228
871458	13	1	228
873008	13	1	228
876306	13	1	228
878260	13	1	228
880953	13	1	228
882157	13	1	228
886029	13	1	228
886365	13	1	228
889847	13	1	228
889848	13	1	228
890147	13	1	228
890148	13	1	228
890266	13	1	228
890267	13	1	228
890311	13	1	228
890312	13	1	228
890356	13	1	228
890466	13	1	228
891719	13	1	228
891720	13	1	228
1062462	16	1	228
1076813	16	1	228
1085538	16	1	228
1087023	16	1	228
1145406	17	1	228
1145407	17	1	228
1247447	19	1	228
1248050	19	1	228
1251578	19	1	228
1251581	19	1	228
1255334	19	1	228
1255939	19	1	228
1259811	19	1	228
1270251	19	1	228
1270252	19	1	228
1270253	19	1	228
1273321	19	1	228
1273323	19	1	228
1273693	19	1	228
1274101	19	1	228
1274121	19	1	228
1275212	19	1	228
1276315	19	1	228
1277597	19	1	228
1277605	19	1	228
1282213	19	1	228
1282261	19	1	228
1282262	19	1	228
1282325	19	1	228
1282539	19	1	228
1282541	19	1	228
1282612	19	1	228
1283648	19	1	228
1283718	19	1	228
1283776	19	1	228
1337663	20	1	228
1341995	20	1	228
1388831	21	1	228
1389815	21	1	228
1389985	21	1	228
1393103	21	1	228
1393104	21	1	228
1393112	21	1	228
1394195	21	1	228
1394196	21	1	228
1394281	21	1	228
1399025	21	1	228
1399031	21	1	228
1399032	21	1	228
1399402	21	1	228
1399568	21	1	228
1399569	21	1	228
1399570	21	1	228
1401412	21	1	228
1401413	21	1	228
1401415	21	1	228
1401440	21	1	228
1402393	21	1	228
1402695	21	1	228
1402696	21	1	228
1403669	21	1	228
1404033	21	1	228
1404083	21	1	228
1404420	21	1	228
1404432	21	1	228
1404482	21	1	228
1405750	21	1	228
1405756	21	1	228
1409622	21	1	228
1409623	21	1	228
1409743	21	1	228
1409849	21	1	228
1409852	21	1	228
1409855	21	1	228
1410119	21	1	228
1410133	21	1	228
1410444	21	1	228
1412811	21	1	228
1413156	21	1	228
1414077	21	1	228
1414078	21	1	228
1414137	21	1	228
1414139	21	1	228
1414142	21	1	228
1414193	21	1	228
1414230	21	1	228
1414231	21	1	228
1414334	21	1	228
1414335	21	1	228
1414336	21	1	228
1414517	21	1	228
1414519	21	1	228
1414758	21	1	228
1414760	21	1	228
1414768	21	1	228
1414885	21	1	228
1416042	21	1	228
1416055	21	1	228
1518279	23	1	228
1523522	23	1	228
1523523	23	1	228
1525804	23	1	228
1525805	23	1	228
1526135	23	1	228
1526136	23	1	228
1526233	23	1	228
1527797	23	1	228
1527798	23	1	228
1530297	23	1	228
